image_path,similarity_cluster
near_dupes/cluster_0000/original.jpg,0
near_dupes/cluster_0000/variant_00.jpg,0
near_dupes/cluster_0000/variant_01.jpg,0
near_dupes/cluster_0000/variant_02.jpg,0
near_dupes/cluster_0000/variant_03.jpg,0
near_dupes/cluster_0000/variant_04.jpg,0
near_dupes/cluster_0001/original.jpg,1
near_dupes/cluster_0001/variant_00.jpg,1
near_dupes/cluster_0001/variant_01.jpg,1
near_dupes/cluster_0001/variant_02.jpg,1
near_dupes/cluster_0001/variant_03.jpg,1
near_dupes/cluster_0001/variant_04.jpg,1
near_dupes/cluster_0002/original.jpg,2
near_dupes/cluster_0002/variant_00.jpg,2
near_dupes/cluster_0002/variant_01.jpg,2
near_dupes/cluster_0002/variant_02.jpg,2
near_dupes/cluster_0002/variant_03.jpg,2
near_dupes/cluster_0002/variant_04.jpg,2
near_dupes/cluster_0003/original.jpg,3
near_dupes/cluster_0003/variant_00.jpg,3
near_dupes/cluster_0003/variant_01.jpg,3
near_dupes/cluster_0003/variant_02.jpg,3
near_dupes/cluster_0003/variant_03.jpg,3
near_dupes/cluster_0003/variant_04.jpg,3
near_dupes/cluster_0004/original.jpg,4
near_dupes/cluster_0004/variant_00.jpg,4
near_dupes/cluster_0004/variant_01.jpg,4
near_dupes/cluster_0004/variant_02.jpg,4
near_dupes/cluster_0004/variant_03.jpg,4
near_dupes/cluster_0004/variant_04.jpg,4
near_dupes/cluster_0005/original.jpg,5
near_dupes/cluster_0005/variant_00.jpg,5
near_dupes/cluster_0005/variant_01.jpg,5
near_dupes/cluster_0005/variant_02.jpg,5
near_dupes/cluster_0005/variant_03.jpg,5
near_dupes/cluster_0005/variant_04.jpg,5
near_dupes/cluster_0006/original.jpg,6
near_dupes/cluster_0006/variant_00.jpg,6
near_dupes/cluster_0006/variant_01.jpg,6
near_dupes/cluster_0006/variant_02.jpg,6
near_dupes/cluster_0006/variant_03.jpg,6
near_dupes/cluster_0006/variant_04.jpg,6
near_dupes/cluster_0007/original.jpg,7
near_dupes/cluster_0007/variant_00.jpg,7
near_dupes/cluster_0007/variant_01.jpg,7
near_dupes/cluster_0007/variant_02.jpg,7
near_dupes/cluster_0007/variant_03.jpg,7
near_dupes/cluster_0007/variant_04.jpg,7
near_dupes/cluster_0008/original.jpg,8
near_dupes/cluster_0008/variant_00.jpg,8
near_dupes/cluster_0008/variant_01.jpg,8
near_dupes/cluster_0008/variant_02.jpg,8
near_dupes/cluster_0008/variant_03.jpg,8
near_dupes/cluster_0008/variant_04.jpg,8
near_dupes/cluster_0009/original.jpg,9
near_dupes/cluster_0009/variant_00.jpg,9
near_dupes/cluster_0009/variant_01.jpg,9
near_dupes/cluster_0009/variant_02.jpg,9
near_dupes/cluster_0009/variant_03.jpg,9
near_dupes/cluster_0009/variant_04.jpg,9
near_dupes/cluster_0010/original.jpg,10
near_dupes/cluster_0010/variant_00.jpg,10
near_dupes/cluster_0010/variant_01.jpg,10
near_dupes/cluster_0010/variant_02.jpg,10
near_dupes/cluster_0010/variant_03.jpg,10
near_dupes/cluster_0010/variant_04.jpg,10
